Agro_Zone,n,mean,variance,standard_deviation
Dry,4578,6.498584534731323,0.3378444893565777,0.581243915543705
Intermediate,1896,6.012568565400844,0.21379799001926036,0.4623829473707485
Wet,3012,5.250564409030544,0.18689619412309716,0.4323149247054711
