Principal_Component,Eigenvalue,Variance_Proportion,Variance_Percentage,Cumulative_Proportion,Cumulative_Percentage,Variable,Loading,Absolute_Loading
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,Organic_Carbon_percent,-0.12389134990354628,0.12389134990354628
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,Organic_Carbon_percent,0.01744339484679735,0.01744339484679735
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,Organic_Carbon_percent,0.1332675771218508,0.1332675771218508
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,Organic_Carbon_percent,0.8446539767880398,0.8446539767880398
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,30day_cumulative_rainfall_mm,0.44866937127531137,0.44866937127531137
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,30day_cumulative_rainfall_mm,0.028949894045383045,0.028949894045383045
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,30day_cumulative_rainfall_mm,-0.0020794268778303576,0.0020794268778303576
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,30day_cumulative_rainfall_mm,-0.22090020193550558,0.22090020193550558
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,30day_cumulative_rainfall_mm,-0.815747224450608,0.815747224450608
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,30day_cumulative_rainfall_mm,-0.1268061736617484,0.1268061736617484
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,30day_cumulative_rainfall_mm,-0.25987138319808584,0.25987138319808584
PC1,3.0085615595566235,0.429794508508086,42.9794508508086,0.429794508508086,42.9794508508086,mean_temperature_C,-0.46839533948872386,0.46839533948872386
PC2,1.0007915232563407,0.14297021760804762,14.297021760804762,0.5727647261161336,57.27647261161336,mean_temperature_C,-0.010490081957008632,0.010490081957008632
PC3,0.9460633987223971,0.1351519141031986,13.51519141031986,0.7079166402193322,70.79166402193322,mean_temperature_C,0.09712607059869215,0.09712607059869215
PC4,0.7887940295105209,0.11268486135864503,11.268486135864503,0.8206015015779773,82.06015015779772,mean_temperature_C,0.13762824153824452,0.13762824153824452
PC5,0.48979758265904094,0.06997108323700535,6.997108323700535,0.8905725848149826,89.05725848149825,mean_temperature_C,-0.3225358021109307,0.3225358021109307
PC6,0.4398571523944042,0.062836736056343,6.2836736056343,0.9534093208713256,95.34093208713256,mean_temperature_C,-0.6868169331564206,0.6868169331564206
PC7,0.32613475390072283,0.04659067912867435,4.659067912867435,0.9999999999999999,99.99999999999999,mean_temperature_C,0.41996894451041766,0.41996894451041766
