"Agro_Zone","Fertilizer","Mean_Rate_kg_ha"
"Dry","Urea_kg_ha",253.158946713664
"Dry","TSP_kg_ha",108.183246941738
"Dry","MOP_kg_ha",66.5974082521252
"Intermediate","Urea_kg_ha",254.5811
"Intermediate","TSP_kg_ha",86.79995
"Intermediate","MOP_kg_ha",58.65015
"Wet","Urea_kg_ha",252.860623229462
"Wet","TSP_kg_ha",117.317311929493
"Wet","MOP_kg_ha",47.68363235757
