target,term,estimate,std_error,t_value,p_value
Urea_kg_ha,(Intercept),330.33206831780717,5.3558826995395545,61.67649421190756,0
Urea_kg_ha,DistrictAnuradhapura,0.5918804033820425,1.3880770980848258,0.4264031185289915,0.6698306014459994
Urea_kg_ha,DistrictBadulla,-0.2763108067421838,1.5039602243123293,-0.1837221505432593,0.8542381161721756
Urea_kg_ha,DistrictBatticaloa,2.433642555524245,1.4152019654277093,1.7196432841221625,0.08555283589099924
Urea_kg_ha,DistrictColombo,-0.10822479540095457,1.8213864037305683,-0.05941891033077236,0.9526205822288164
Urea_kg_ha,DistrictGalle,-0.9218492051651297,1.8490869379604156,-0.4985429220445146,0.6181211027008288
Urea_kg_ha,DistrictGampaha,-0.9604124644059113,1.8504170273703648,-0.5190248739608484,0.603764008624967
Urea_kg_ha,DistrictHambantota,-0.4082488585062639,1.424660007315853,-0.2865587974743741,0.7744608207165438
Urea_kg_ha,DistrictJaffna,0.5724156994528437,1.4290514281443352,0.40055640278540716,0.6887621063229403
Urea_kg_ha,DistrictKalutara,0.11350193125028278,1.8713606330963999,0.060652088775897596,0.951638464212567
Urea_kg_ha,DistrictKandy,-0.6425795269290413,1.8036942869924284,-0.35625744981457536,0.7216612599152527
Urea_kg_ha,DistrictKegalle,0.9059002761511602,1.480949672204853,0.6117022699376723,0.5407597164730522
Urea_kg_ha,DistrictKilinochchi,-0.22133266556001774,1.3972555977128784,-0.1584052809824558,0.8741431931069805
Urea_kg_ha,DistrictKurunegala,0.9537148744905121,1.4709001633914156,0.6483885842337231,0.5167603705346855
Urea_kg_ha,DistrictMannar,1.3163854957878898,1.4144593174751183,0.9306633846052955,0.35206803448130153
Urea_kg_ha,DistrictMatale,0.24472269763308369,1.50783013130069,0.16230123841734087,0.8710745245809738
Urea_kg_ha,DistrictMatara,0.8675082115099372,1.825077160900844,0.4753268684167533,0.6345726429324811
Urea_kg_ha,DistrictMonaragala,-1.793292977282912,1.4797811994622885,-1.2118636038453152,0.22561598286665208
Urea_kg_ha,DistrictMullaitivu,2.3879337055982948,1.4048745117322716,1.6997487573846495,0.08923400682565111
Urea_kg_ha,DistrictNuwara Eliya,-0.6217921298203191,1.8703138421124044,-0.3324533646813217,0.7395594544820283
Urea_kg_ha,DistrictPolonnaruwa,-0.3767885283239703,1.3868647143712483,-0.27168369374426826,0.7858753055601809
Urea_kg_ha,DistrictPuttalam,-1.3100637194903422,1.3955706050492582,-0.9387298032435285,0.3479101765327992
Urea_kg_ha,DistrictRatnapura,0.31945080629536443,1.8172251385433058,0.17579043978636424,0.8604649685715832
Urea_kg_ha,DistrictTrincomalee,0.756083768353825,1.3994183660588624,0.5402842971706594,0.5890225794289832
Urea_kg_ha,DistrictVavuniya,-1.3466480470091986,1.3709771108727395,-0.9822542158650238,0.3260172710207857
Urea_kg_ha,SeasonYala,0.05658435994937843,0.46282624953652535,0.12225832049509305,0.9026988486894258
Urea_kg_ha,Soil_pH,-0.44791213655767886,0.38482353024576255,-1.163941654689425,0.24449749332847526
Urea_kg_ha,Total_N_percent,-585.0179029386551,4.6130515988451135,-126.81798380168031,0
Urea_kg_ha,Available_P_mgkg,0.014282277488252008,0.06541765111248385,0.21832452320389836,0.8271842638173954
Urea_kg_ha,Available_K_mgkg,0.0039741495773858975,0.008351699956873385,0.4758491801558559,0.6342004849689988
Urea_kg_ha,Organic_Carbon_percent,0.0044620834363722755,0.5869422415311938,0.0076022530338449535,0.9939346102573678
Urea_kg_ha,Rainfall_30d_mm,-0.002632198703053808,0.0032869535864995746,-0.8008019078410399,0.4232804778818704
Urea_kg_ha,Temperature_mean_C,-0.05302870277514954,0.15231360744810202,-0.3481547293351191,0.7277371363321276
TSP_kg_ha,(Intercept),186.76135103650458,4.605080435577877,40.555502482350995,2.494914754e-315
TSP_kg_ha,DistrictAnuradhapura,-0.22805420931111198,1.190421120100741,-0.19157439788350913,0.8480825789633815
TSP_kg_ha,DistrictBadulla,-4.9875752267936,1.2689263171536975,-3.9305475498223785,8.577958598635054e-5
TSP_kg_ha,DistrictBatticaloa,-1.8185930926782552,1.1836772169694167,-1.5363927484677127,0.12449886282644348
TSP_kg_ha,DistrictColombo,-1.404100665789793,1.5404846288219711,-0.9114668458999992,0.36208887661555456
TSP_kg_ha,DistrictGalle,-3.3638565452730966,1.5550376322292296,-2.163199446466661,0.030568228366627686
TSP_kg_ha,DistrictGampaha,-1.1372003154771138,1.5809022150937908,-0.7193362781199257,0.47196391576352537
TSP_kg_ha,DistrictHambantota,-1.0295994568357614,1.2143349590022068,-0.8478710500781114,0.3965462074606584
TSP_kg_ha,DistrictJaffna,-1.319230827925628,1.2386878913047343,-1.0650227851473193,0.2869117669908944
TSP_kg_ha,DistrictKalutara,-1.8169435129253635,1.5976898015538539,-1.1372317149162945,0.25549033352868056
