target,model,alpha,lambda,n_test,r_squared,adjusted_r_squared,RMSE,MAE
MOP_kg_ha,LASSO,1,0.13468657512726165,1400,0.7958643797889025,0.7907796830217396,10.525523252886256,9.0467645648762
TSP_kg_ha,MLR,NA,NA,1399,0.7984787822713637,0.7934555261109725,12.376887509975717,10.28432981878787
Urea_kg_ha,LASSO,1,0.28969037688185195,1399,0.7484489749999355,0.7421786415321919,14.86513143515375,12.253411914025634
