target,model,alpha,lambda,n_test,r_squared,adjusted_r_squared,RMSE,MAE,RMSE_rank,MAE_rank,R2_rank
MOP_kg_ha,LASSO,1,0.13468657512726165,1400,0.7958643797889025,0.7907796830217396,10.525523252886256,9.0467645648762,1,1,1
MOP_kg_ha,MLR,NA,NA,1400,0.7937273275029145,0.7885894001293607,10.5804745384455,9.080839667616749,2,2,2
MOP_kg_ha,GLM_Gaussian,NA,NA,1400,0.7937273275029145,0.7885894001293607,10.5804745384455,9.080839667616749,3,2,2
MOP_kg_ha,Ridge,0,2.04711618260898,1400,0.7880394588480637,0.7827598556252315,10.72535827624596,9.218428496049672,4,4,4
TSP_kg_ha,MLR,NA,NA,1399,0.7984787822713637,0.7934555261109725,12.376887509975717,10.28432981878787,1,1,1
TSP_kg_ha,GLM_Gaussian,NA,NA,1399,0.7984787822713637,0.7934555261109725,12.376887509975717,10.28432981878787,2,1,1
TSP_kg_ha,LASSO,1,0.21228233097573682,1399,0.7981086470692761,0.7930761646648445,12.38824864652898,10.299357405159226,3,3,3
TSP_kg_ha,Ridge,0,2.4407309503869112,1399,0.7908615634256224,0.7856484352412171,12.608632391746754,10.403895256404422,4,4,4
Urea_kg_ha,LASSO,1,0.28969037688185195,1399,0.7484489749999355,0.7421786415321919,14.86513143515375,12.253411914025634,1,3,1
Urea_kg_ha,MLR,NA,NA,1399,0.7476508122859666,0.7413605832667018,14.888696031852449,12.244565362218125,2,1,2
Urea_kg_ha,GLM_Gaussian,NA,NA,1399,0.7476508122859666,0.7413605832667018,14.888696031852449,12.244565362218125,3,1,2
Urea_kg_ha,Ridge,0,2.519579163609605,1399,0.7441711736043569,0.7377942087235271,14.990994579861969,12.384743556430385,4,4,4
