Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Soil_pH,-0.45826308245384384,-0.030973426722307407,0.10117798357103854,0.1569959655621509,-0.4692924956033402,0.7023626501674388,0.20149972147585324
Total_N_percent,0.01450164289391955,-0.9951141691614764,-0.07602750647757839,-0.05883011076009513,-0.008076837077994439,-0.014988762054474459,-0.0025358882248403534
Available_P_mgkg,-0.16528934974894358,0.07546311432275875,-0.9797771957974323,-0.040150186422031185,-0.07343268993630701,-0.002533357170464889,-0.00325276990329377
Available_K_mgkg,0.3091684667509133,-0.04328089502205936,-0.08881740517860452,0.9419085670756263,-0.06730385171689227,-0.029967887850828843,-0.04509390581541748
Organic_Carbon_percent,0.49616584008212355,0.016503984041405583,-0.08181168269800203,-0.12389134990354628,0.01744339484679735,0.1332675771218508,0.8446539767880398
30day_cumulative_rainfall_mm,0.44866937127531137,0.028949894045383045,-0.0020794268778303576,-0.22090020193550558,-0.815747224450608,-0.1268061736617484,-0.25987138319808584
mean_temperature_C,-0.46839533948872386,-0.010490081957008632,0.09712607059869215,0.13762824153824452,-0.3225358021109307,-0.6868169331564206,0.41996894451041766
