Observation,PC1,PC2,PC3,PC4,PC5,PC6,PC7
1,-1.7369558419704827,1.4582498850939352,0.8326712475000847,-0.2645466512220402,-0.8851719301723965,-0.10909011437457264,0.11006561377512182
2,2.377289025506417,-0.42168782436046237,0.7555541113754445,-1.278380802140752,0.1347920221226665,-0.059266489650233276,0.5512795720950698
3,2.3975934379729735,0.9335807077867702,-0.13283660490273358,0.6913894872703943,-0.06151372734792159,0.8390871829504769,0.5411693330487837
4,-1.1874790934119437,0.11783046175005488,1.407569859459293,-0.028111121291737304,0.9903334153826836,-0.17819730459849176,0.15267785358263447
5,-1.3183192218266813,1.307373520470318,-0.9615974996692666,1.44130523955197,0.5621136747028057,-0.34327272153624794,-0.14164157837789149
6,-0.9289802660019543,0.05709811468893656,-0.828125938048748,-1.1222258261918963,-1.1281978415134541,-0.5469859790953887,-0.6788395015606153
7,-0.9118809001836273,0.7814025767416417,-2.0661612664693783,0.4498694891446171,0.04223296315339865,0.09984633470827543,-0.33126351876165927
8,2.312410214500545,-0.34280716155012636,-0.7147250850213609,-0.21720526491539613,-0.25220578599882,-0.3055211664466843,0.48194065224248794
9,-1.0391003190171957,-0.4608580816391584,1.336958511679046,0.9895785975871467,0.8068701879796963,0.9069880599337711,0.43915111033551335
10,-0.6062129261316723,0.5343347158972401,-1.49478840457047,-0.5406941305576445,0.24522705523055835,-0.7954221094877024,-0.4035487606708162
11,-2.8553322453348775,0.2616988503230263,-0.31766077757788086,0.8466840865890021,-0.05592958298055148,0.6438005422175499,0.4847318084067644
12,-1.0741345567521339,0.5478580631105625,0.0759469292414182,0.5886025100960343,1.4194628649408738,0.2557825307151884,-0.5730359729675373
13,-0.707238128396223,0.43044936251627036,0.010570302961842115,0.9694271443001571,-0.5434865208886637,0.46477447902778324,0.2114683654917422
14,-1.9285129149990887,-1.8091743215204155,1.1141000480518508,-0.36949234790926316,-0.20869125631058616,0.9811345716593629,0.9054060803622492
15,-0.6971015997817744,-0.28848192838590264,1.454523911397204,-0.2868239082219643,-0.6600497239864266,1.1827021963345972,0.30406286262214965
16,2.5755419429138975,-0.7133116698420957,-0.9175338602419942,-0.18219841874435372,-0.11421452412380328,-0.6281587618292803,-0.6831486665482099
17,-1.3557020966886328,0.7822941626907534,-0.6954715973180003,-1.1060401066308014,0.014143487612351563,-1.3131501458161166,0.2234896342809294
18,-1.5779903138748137,0.13104825135056855,-0.17293219208544258,1.2369453919504834,-1.0390068726657555,-0.26091793704731825,-0.4898426754576828
19,-1.5396458217328473,-1.6427428535535908,1.4881479717413397,0.36941475772551907,-0.9202069191847528,-0.15318192300018862,0.3849051914537585
20,2.206095776284752,1.302972571194864,0.963077504659245,-0.3858611046651699,0.3484564799686822,-0.5141962439125598,-0.9894324915280541
21,1.1653779275430554,-1.462802972606434,-0.9781863283157001,0.4848551435006405,0.6314586816483241,0.2911603269311895,-0.16684310656807785
22,-2.6338654977665144,-0.494845390743446,-0.3049550978515591,0.05243231868114773,0.6142013829687449,-0.0727779926856065,0.07671385424828404
23,-1.045881878085742,-0.4933115550421538,0.24967224041164626,-1.2703594659708186,0.6324182441427589,-0.8968013983430377,0.11073595076870058
24,-2.0055583520728697,1.5707589787196325,0.4114239807450918,-0.9951876348574967,-1.5608171190066145,0.534104205274057,0.5650265490367384
25,2.14073679817157,-1.4633344661914371,0.6627817003549912,-0.354044256382226,0.3226855251188126,-0.7508549729146247,1.2375216588113236
26,1.140283938969106,0.8482550884484712,0.39178434221972774,0.33726037737898124,0.4258973078099375,0.8459069714777729,-0.48304385471942113
27,-0.7457308962032543,-1.6741252205893977,-1.0846897349607627,0.9810265023432228,1.4033722561747908,-0.007622888036481453,-0.9199359832342081
28,0.11576802701023729,0.12782274267935587,-0.09517814743949637,0.9714062211198894,0.33461445426573805,-0.2844181786186361,0.9491337829984627
29,3.2426802989026084,0.8829835271528276,0.8155199257999223,1.4644733305719764,0.5368499288886197,0.06655079918833297,-0.2665755384866561
30,-1.510323250883346,-1.8517092937780866,1.1937676889546027,1.0305667126786442,0.3179127132922575,1.4039535605159525,-0.8454425528773207
31,-2.7959528731091834,-1.4673528183768487,-1.0367608950971343,0.15257336717464262,-0.19238906366102726,0.14229652954739525,1.0396581962649953
32,-1.1796012218296412,-0.2408516184844988,1.3451423246654644,-0.40534510760299736,0.01623526173246743,-0.1806223165664128,-0.10714797637467639
33,2.1083610934573516,0.1562904264645077,-0.0514086939653152,0.47782012505140853,0.118901209518802,0.30652880066021937,-0.6001790393769879
34,-1.1622501999492927,0.2085102363305625,-2.629845785217004,0.3734786765730001,0.14466665159302766,0.7985707289567767,0.515708019735725
35,1.5972519580574938,0.5645810225383793,-0.6037994320591084,0.4520329259875182,-0.41438977050324927,0.29035463303457065,0.9025478347948751
36,-1.1210486753380662,0.5286163751924748,0.7810820659038054,-0.8947569842508589,-1.3506550104404618,-1.0891678782351637,0.33123484118706387
37,-1.7334419227965052,-1.223000591901985,1.084272074003403,-0.2995020924664631,0.3847093871951474,0.5338624481642715,-0.3353582099028363
38,-0.032955992282226204,1.263512935708066,-0.2970813060438151,-0.6982981399917678,0.49973363059767645,1.055854435901912,0.5349680632391651
39,3.255606917922072,1.024211484270941,0.2961870702579325,-0.16259834901829567,0.28549766336615107,-0.14400263996792015,-0.2508130678807167
40,-1.4519650544027274,0.06457682827735804,-0.5717580927197067,0.9248434672580209,0.3888144096092915,0.6077702183741419,-0.5921999163175992
41,-0.9700266801486804,0.5307149916985178,-0.8676004667741872,0.5058087638837786,1.5060090962661055,0.3877993367551038,-0.5202352028656719
42,-0.4991423870226928,1.4228196098708472,0.9489099483558893,1.1852143001458517,-1.5445206754761218,0.7080652718488599,-0.544652282322839
43,-1.915912014683849,-1.573584357682804,0.3794899225614793,-1.2225270213011352,0.8890194838132606,1.259081201208952,-0.16248684944580527
44,-1.4349439262927515,-1.6794877326965325,-1.3076613330220692,0.8772736680514813,0.2168823446641158,0.24004720756559275,-0.45569928668681925
45,-0.7397597059948327,0.7737058625674165,0.4905029649102955,-0.8562914426686723,0.23549911176119304,0.5420031919849383,-0.3761481238407828
46,-0.2431489746282774,0.8132803722107799,0.4388579861634186,-1.4052038885884306,-0.2711034950596917,-0.6471665892504341,0.7534535815433632
47,0.31687091257929645,-1.6597936931901864,0.8982126993017557,0.9534211294250667,0.016114894033007882,0.06576643205205412,-0.6569004599637697
48,1.6773152947825392,1.2211838944377407,-0.05662402527673879,-0.7862462143781928,0.4168183103508048,-0.05142049253453031,1.24880487110589
49,-0.21289750963248705,1.2370261108165814,0.34601359264090276,-0.04509274338718381,-0.19951509783272087,0.49417267558231637,-0.7760541465012233
50,3.1675494171649077,-1.1323248872894136,-0.9044128994124905,-1.5827617495242665,-0.5698268641658377,0.8974685163630958,0.4415507669227411
51,-0.8159118319449671,1.4383872255637695,-1.5627643113623093,-0.7784803922285327,-0.6627296398747323,0.7734069020658337,-0.07028234034079014
52,-2.1634628796480095,-1.1191472153717328,0.6300110086599204,-0.40815191260889033,-1.443559799295368,-0.10774711008104043,0.4184793268095027
53,-2.03537219255082,0.9495900189678969,0.08831464357301642,-0.03939587893156989,-0.3293093655781301,-1.056416115751411,0.39421486039935244
54,1.9408095899057356,-1.7363703892841367,0.3741560297589455,0.9492936573321354,0.824504840451063,-0.3113831837403095,-0.4928076779873364
55,-1.2702827611367622,-0.7663589950843481,-0.25354513871995954,-0.528277871220318,-0.6130831071801742,0.5930843082798951,-1.15554533163362
56,-1.804490687820741,-1.0970039212482474,0.22795200390498524,0.1923868767370727,-0.8480817422915587,-0.22418026293151674,-0.19870419878062862
57,-0.6565472121319177,-0.07100322552986867,-0.9346851186059036,1.283599358718306,0.24701564597557796,0.0679419342769478,-0.3794611928473679
58,-1.4140917378302207,1.0358094374502365,-1.8762935746897365,-0.7527912727872085,-0.044848807004812224,0.38087230342803935,-0.2602239640512155
59,2.8307149793613107,-1.5547001262897886,-0.13085238865844329,-0.5542411993007154,0.7837056204693749,-0.10846002351767552,0.46933811065722547
60,-1.3538385347268884,-0.7584623424753645,-0.32341234249046025,1.1375282573205143,-0.029856787325634404,-0.6843265727631023,0.8328591490298903
61,-2.2039816532978516,-0.1571585928018245,-0.03199283535446361,1.071325042652604,0.2503987457099482,0.3273773717530834,0.8969445847005625
