"case","n_miss","pct_miss"
2485,4,23.5294117647059
8254,4,23.5294117647059
145,3,17.6470588235294
280,3,17.6470588235294
437,3,17.6470588235294
619,3,17.6470588235294
692,3,17.6470588235294
851,3,17.6470588235294
1047,3,17.6470588235294
1419,3,17.6470588235294
2105,3,17.6470588235294
2240,3,17.6470588235294
2251,3,17.6470588235294
2347,3,17.6470588235294
2729,3,17.6470588235294
3483,3,17.6470588235294
3619,3,17.6470588235294
3668,3,17.6470588235294
3837,3,17.6470588235294
4271,3,17.6470588235294
4441,3,17.6470588235294
4520,3,17.6470588235294
4874,3,17.6470588235294
5319,3,17.6470588235294
5401,3,17.6470588235294
5424,3,17.6470588235294
5830,3,17.6470588235294
6085,3,17.6470588235294
6135,3,17.6470588235294
6646,3,17.6470588235294
7340,3,17.6470588235294
7502,3,17.6470588235294
7545,3,17.6470588235294
8204,3,17.6470588235294
8498,3,17.6470588235294
8556,3,17.6470588235294
9579,3,17.6470588235294
9667,3,17.6470588235294
9742,3,17.6470588235294
43,2,11.7647058823529
74,2,11.7647058823529
87,2,11.7647058823529
88,2,11.7647058823529
98,2,11.7647058823529
121,2,11.7647058823529
140,2,11.7647058823529
150,2,11.7647058823529
168,2,11.7647058823529
183,2,11.7647058823529
201,2,11.7647058823529
223,2,11.7647058823529
230,2,11.7647058823529
269,2,11.7647058823529
281,2,11.7647058823529
289,2,11.7647058823529
322,2,11.7647058823529
346,2,11.7647058823529
397,2,11.7647058823529
428,2,11.7647058823529
454,2,11.7647058823529
463,2,11.7647058823529
479,2,11.7647058823529
481,2,11.7647058823529
489,2,11.7647058823529
642,2,11.7647058823529
689,2,11.7647058823529
707,2,11.7647058823529
734,2,11.7647058823529
748,2,11.7647058823529
751,2,11.7647058823529
762,2,11.7647058823529
808,2,11.7647058823529
821,2,11.7647058823529
859,2,11.7647058823529
898,2,11.7647058823529
908,2,11.7647058823529
934,2,11.7647058823529
946,2,11.7647058823529
997,2,11.7647058823529
1061,2,11.7647058823529
1128,2,11.7647058823529
1156,2,11.7647058823529
1259,2,11.7647058823529
1283,2,11.7647058823529
1357,2,11.7647058823529
1365,2,11.7647058823529
1371,2,11.7647058823529
1384,2,11.7647058823529
1407,2,11.7647058823529
1418,2,11.7647058823529
1471,2,11.7647058823529
1494,2,11.7647058823529
1501,2,11.7647058823529
1514,2,11.7647058823529
1516,2,11.7647058823529
1535,2,11.7647058823529
1541,2,11.7647058823529
1562,2,11.7647058823529
1591,2,11.7647058823529
1717,2,11.7647058823529
1740,2,11.7647058823529
1755,2,11.7647058823529
1768,2,11.7647058823529
1790,2,11.7647058823529
1844,2,11.7647058823529
1861,2,11.7647058823529
1921,2,11.7647058823529
1925,2,11.7647058823529
1980,2,11.7647058823529
1989,2,11.7647058823529
2019,2,11.7647058823529
2022,2,11.7647058823529
2038,2,11.7647058823529
2060,2,11.7647058823529
2068,2,11.7647058823529
2198,2,11.7647058823529
2237,2,11.7647058823529
2253,2,11.7647058823529
2255,2,11.7647058823529
2284,2,11.7647058823529
2285,2,11.7647058823529
2287,2,11.7647058823529
2320,2,11.7647058823529
2399,2,11.7647058823529
2441,2,11.7647058823529
2482,2,11.7647058823529
2491,2,11.7647058823529
2493,2,11.7647058823529
2512,2,11.7647058823529
2555,2,11.7647058823529
2614,2,11.7647058823529
2632,2,11.7647058823529
2655,2,11.7647058823529
2663,2,11.7647058823529
2708,2,11.7647058823529
2774,2,11.7647058823529
2791,2,11.7647058823529
2810,2,11.7647058823529
2824,2,11.7647058823529
2850,2,11.7647058823529
2880,2,11.7647058823529
2881,2,11.7647058823529
2908,2,11.7647058823529
