target,model,term,coefficient
TSP_kg_ha,Ridge,DistrictMullaitivu,0.33580069004741026
TSP_kg_ha,Ridge,DistrictNuwara Eliya,-0.6273683037041563
TSP_kg_ha,Ridge,DistrictPolonnaruwa,-0.5235370594067252
TSP_kg_ha,Ridge,DistrictPuttalam,-0.7948787910040268
TSP_kg_ha,Ridge,DistrictRatnapura,-0.5498662405026369
TSP_kg_ha,Ridge,DistrictTrincomalee,-0.83257389927632
TSP_kg_ha,Ridge,DistrictVavuniya,1.0498777993884985
TSP_kg_ha,Ridge,Agro_ZoneIntermediate,-2.312927810592271
TSP_kg_ha,Ridge,Agro_ZoneWet,0.1322962454371205
TSP_kg_ha,Ridge,SeasonYala,0.1804442573856745
TSP_kg_ha,Ridge,Soil_pH,0.11244446653214904
TSP_kg_ha,Ridge,Total_N_percent,-0.11130164864507362
TSP_kg_ha,Ridge,Available_P_mgkg,-6.561241989091382
TSP_kg_ha,Ridge,Available_K_mgkg,-0.006395858524048033
TSP_kg_ha,Ridge,Organic_Carbon_percent,-0.29735694125359646
TSP_kg_ha,Ridge,Rainfall_30d_mm,-9.641491549984756e-4
TSP_kg_ha,Ridge,Temperature_mean_C,-0.14100773011405124
TSP_kg_ha,LASSO,(Intercept),180.05198982270588
TSP_kg_ha,LASSO,DistrictAnuradhapura,0.057300176021156085
TSP_kg_ha,LASSO,DistrictBadulla,-1.3040844507796805
TSP_kg_ha,LASSO,DistrictBatticaloa,0
TSP_kg_ha,LASSO,DistrictColombo,0
TSP_kg_ha,LASSO,DistrictGalle,-1.0164777585734228
TSP_kg_ha,LASSO,DistrictGampaha,0
TSP_kg_ha,LASSO,DistrictHambantota,0
TSP_kg_ha,LASSO,DistrictJaffna,0
TSP_kg_ha,LASSO,DistrictKalutara,0
TSP_kg_ha,LASSO,DistrictKandy,0.39496909680712666
TSP_kg_ha,LASSO,DistrictKegalle,0
TSP_kg_ha,LASSO,DistrictKilinochchi,0
TSP_kg_ha,LASSO,DistrictKurunegala,0
TSP_kg_ha,LASSO,DistrictMannar,0
TSP_kg_ha,LASSO,DistrictMatale,0
TSP_kg_ha,LASSO,DistrictMatara,0
TSP_kg_ha,LASSO,DistrictMonaragala,0
TSP_kg_ha,LASSO,DistrictMullaitivu,0
TSP_kg_ha,LASSO,DistrictNuwara Eliya,0
TSP_kg_ha,LASSO,DistrictPolonnaruwa,0
TSP_kg_ha,LASSO,DistrictPuttalam,0
TSP_kg_ha,LASSO,DistrictRatnapura,0
TSP_kg_ha,LASSO,DistrictTrincomalee,0
TSP_kg_ha,LASSO,DistrictVavuniya,0.5383825325010066
TSP_kg_ha,LASSO,Agro_ZoneIntermediate,-1.476337910832728
TSP_kg_ha,LASSO,Agro_ZoneWet,0
TSP_kg_ha,LASSO,SeasonYala,0
TSP_kg_ha,LASSO,Soil_pH,0
TSP_kg_ha,LASSO,Total_N_percent,0
TSP_kg_ha,LASSO,Available_P_mgkg,-7.191424080726813
TSP_kg_ha,LASSO,Available_K_mgkg,-0.002219722986072219
TSP_kg_ha,LASSO,Organic_Carbon_percent,-0.2596744550113911
TSP_kg_ha,LASSO,Rainfall_30d_mm,-5.445034971767203e-5
TSP_kg_ha,LASSO,Temperature_mean_C,0
MOP_kg_ha,Ridge,(Intercept),123.07462278712131
MOP_kg_ha,Ridge,DistrictAnuradhapura,-0.5183197988054622
MOP_kg_ha,Ridge,DistrictBadulla,-0.8316871521631733
MOP_kg_ha,Ridge,DistrictBatticaloa,0.0789387783487857
MOP_kg_ha,Ridge,DistrictColombo,0.2719549064696283
MOP_kg_ha,Ridge,DistrictGalle,-1.6083368857982967
MOP_kg_ha,Ridge,DistrictGampaha,-0.08270438088527265
MOP_kg_ha,Ridge,DistrictHambantota,0.5243606798238424
MOP_kg_ha,Ridge,DistrictJaffna,-0.34004912702005674
MOP_kg_ha,Ridge,DistrictKalutara,0.3708963482533425
MOP_kg_ha,Ridge,DistrictKandy,-0.19125812257981872
MOP_kg_ha,Ridge,DistrictKegalle,-0.6066402754892223
MOP_kg_ha,Ridge,DistrictKilinochchi,-0.6864153526602136
MOP_kg_ha,Ridge,DistrictKurunegala,-0.04066773593672787
MOP_kg_ha,Ridge,DistrictMannar,0.7275689470553934
MOP_kg_ha,Ridge,DistrictMatale,-0.5851393874501344
MOP_kg_ha,Ridge,DistrictMatara,-0.7529944530505894
MOP_kg_ha,Ridge,DistrictMonaragala,-0.28314520855362557
MOP_kg_ha,Ridge,DistrictMullaitivu,-1.2243254416101237
MOP_kg_ha,Ridge,DistrictNuwara Eliya,-0.4774813927718923
MOP_kg_ha,Ridge,DistrictPolonnaruwa,-0.06718799332927161
MOP_kg_ha,Ridge,DistrictPuttalam,-0.11746841613788797
MOP_kg_ha,Ridge,DistrictRatnapura,0.6428259914355092
MOP_kg_ha,Ridge,DistrictTrincomalee,0.30871374461274004
MOP_kg_ha,Ridge,DistrictVavuniya,1.1670656509637347
MOP_kg_ha,Ridge,Agro_ZoneIntermediate,-0.5765514894687784
MOP_kg_ha,Ridge,Agro_ZoneWet,-0.3991995280449382
MOP_kg_ha,Ridge,SeasonYala,-0.27307962835580274
MOP_kg_ha,Ridge,Soil_pH,-0.24552785957403106
